id,text_raw,text,duration,reason
sample_00000197,voilà,voilà,0.426,too_short
sample_00000320,شاشية,شاشية,0.481,too_short
sample_00000429,باهي,باهي,0.405,too_short
sample_00000657,أه,اه,0.259,too_short
sample_00000675,الله,الله,0.348,too_short
sample_00000677,alors,alors,0.26,too_short
sample_00000727,alors,alors,0.491,too_short
sample_00000740,باهي,باهي,0.438,too_short
sample_00000744,alors,alors,0.467,too_short
sample_00001092,next,next,0.48,too_short
sample_00001104,شنوا الحكاية متاعكم قالوا لي ساهل ياخي آ كي إنحط آنا des capteurs piézoélectrique آكا اللي كي تنزل هكا تعمل l'énergie ونبدا نمشي ياخي مش نخلق في ال l'électricité صحيح كي إنحط فيهم batterie كيما آكا ال batterie اللي تستعملوا فيها مع التاليفون إنوليش j'emmagasine électricité قتلهم صحيح أي عاد c'est simple قالوا لي إنوليوا نعملوا des talents إنحطوا فيهم آ إنحطوهم في الواحد إنحطوا usb نهارة اللي يوفى التاليفون décharge إنلصقه هنا إنحطه هنا وإنعمره بصباطي,شنوا الحكاية متاعكم قالوا لي ساهل ياخي ا كي انحط انا des capteurs piézoélectrique اكا اللي كي تنزل هكا تعمل l'énergie ونبدا نمشي ياخي مش نخلق في ال l'électricité صحيح كي انحط فيهم batterie كيما اكا ال batterie اللي تستعملوا فيها مع التاليفون انوليش j'emmagasine électricité قتلهم صحيح اي عاد c'est simple قالوا لي انوليوا نعملوا des talents انحطوا فيهم ا انحطوهم في الواحد انحطوا usb نهارة اللي يوفي التاليفون décharge انلصقه هنا انحطه هنا وانعمره بصباطي,30.503,too_long
sample_00001260,دخلت,دخلت,0.451,too_short
sample_00001291,قتله أي,قتله اي,0.353,too_short
sample_00001474,رجعوا,رجعوا,0.355,too_short
sample_00001480,ساهلة,ساهلة,0.358,too_short
sample_00001522,مخرجة,مخرجة,0.455,too_short
sample_00001548,voilà,voilà,0.442,too_short
sample_00001583,إنو,انو,0.386,too_short
sample_00001598,آما,اما,0.35,too_short
sample_00001634,إنو,انو,0.462,too_short
sample_00001644,merci,merci,0.437,too_short
sample_00001660,خلي خلي,خلي خلي,0.392,too_short
sample_00001784,أي,اي,0.34,too_short
sample_00001790,قاعد نلعب,قاعد نلعب,0.48,too_short
sample_00001864,كهو,كهو,0.48,too_short
sample_00001867,أكاكا,اكاكا,0.34,too_short
sample_00001896,موش لازم,موش لازم,0.44,too_short
sample_00001939,باهي,باهي,0.46,too_short
sample_00002010,إنسيتها,انسيتها,0.42,too_short
sample_00002012,أوكي,اوكي,0.48,too_short
sample_00002045,لا,لا,0.378,too_short
sample_00002307,merci,merci,0.402,too_short
sample_00002385,منها,منها,0.428,too_short
sample_00002619,bon,bon,0.375,too_short
sample_00002751,mais,mais,0.277,too_short
sample_00002763,mais,mais,0.357,too_short
sample_00003037,merci,merci,0.465,too_short
sample_00003425,باهي,باهي,0.432,too_short
sample_00003551,إنت,انت,0.363,too_short
sample_00003572,تعدى,تعدي,0.298,too_short
sample_00004280,باهي,باهي,0.433,too_short
sample_00004368,ça va,ça va,0.478,too_short
sample_00004374,أي,اي,0.46,too_short
sample_00004381,باهي,باهي,0.38,too_short
sample_00004449,توا,توا,0.371,too_short
sample_00004487,باهي,باهي,0.245,too_short
sample_00004494,وقتها بش تنجم إتديفلوبي الخدمة متاعك,وقتها بش تنجم اتديفلوبي الخدمة متاعك,0.119,too_short
sample_00004506,فهم,فهم,0.441,too_short
sample_00004509,باهي,باهي,0.445,too_short
sample_00004525,بدل,بدل,0.318,too_short
sample_00004544,أيا وينك,ايا وينك,0.468,too_short
sample_00004565,باهي,باهي,0.36,too_short
sample_00004567,باهي,باهي,0.322,too_short
sample_00004575,تضحك,تضحك,0.419,too_short
sample_00004576,باهي,باهي,0.408,too_short
sample_00004582,باهي,باهي,0.335,too_short
sample_00004584,oui,oui,0.482,too_short
sample_00004588,أناهي,اناهي,0.317,too_short
sample_00004593,باهي,باهي,0.187,too_short
sample_00004594,باهي,باهي,0.248,too_short
sample_00004609,باهي,باهي,0.194,too_short
sample_00004652,باهي,باهي,0.438,too_short
sample_00004676,شد لحظة,شد لحظة,0.395,too_short
sample_00004680,باهي,باهي,0.264,too_short
sample_00004681,merci,merci,0.237,too_short
sample_00004683,لا لا,لا لا,0.462,too_short
sample_00004684,باهي,باهي,0.118,too_short
sample_00004691,باهي,باهي,0.36,too_short
sample_00004758,لحظة,لحظة,0.209,too_short
sample_00004795,من ناحية,من ناحية,0.393,too_short
sample_00004887,كهو,كهو,0.393,too_short
sample_00004895,bonjour,bonjour,0.459,too_short
sample_00004896,voilà,voilà,0.477,too_short
sample_00004915,bon,bon,0.319,too_short
sample_00005570,والله,والله,0.342,too_short
sample_00005920,enfin ب,enfin ب,0.442,too_short
sample_00006149,merci,merci,0.42,too_short
sample_00006287,merci,merci,0.298,too_short
sample_00006810,باهي,باهي,0.318,too_short
sample_00007102,باهي,باهي,0.054,too_short
sample_00008175,oui,oui,0.46,too_short
sample_00008395,نعم,نعم,0.413,too_short
sample_00008444,نعم,نعم,0.354,too_short
sample_00008554,bon,bon,0.482,too_short
sample_00008610,و,و,0.489,too_short
sample_00008679,باهي,باهي,0.38,too_short
sample_00009756,آ,ا,0.485,too_short
sample_00009812,باهي,باهي,0.461,too_short
sample_00009823,باهي,باهي,0.323,too_short
sample_00010147,إذا,اذا,0.492,too_short
sample_00010151,أه,اه,0.394,too_short
sample_00010165,شكرا,شكرا,0.495,too_short
sample_00010337,كيفاش,كيفاش,0.462,too_short
sample_00010431,علاش,علاش,0.496,too_short
sample_00010473,هو,هو,0.493,too_short
sample_00010869,نعم,نعم,0.492,too_short
sample_00010890,أوكي,اوكي,0.461,too_short
sample_00011610,زادا,زادا,0.472,too_short
sample_00011641,باهي,باهي,0.233,too_short
sample_00011650,تفتق,تفتق,0.323,too_short
sample_00011657,أوكي,اوكي,0.391,too_short
sample_00011678,voilà,voilà,0.322,too_short
sample_00011730,إمشي,امشي,0.322,too_short
sample_00011783,باهي,باهي,0.201,too_short
sample_00011799,مشيت,مشيت,0.493,too_short
sample_00011828,et,et,0.362,too_short
sample_00012096,باهي,باهي,0.48,too_short
sample_00012130,باهي,باهي,0.44,too_short
sample_00012141,مثلا,مثلا,0.48,too_short
sample_00012203,نهار,نهار,0.363,too_short
sample_00012419,donc,donc,0.473,too_short
sample_00012561,oui,oui,0.451,too_short
sample_00012563,باهي,باهي,0.417,too_short
sample_00012570,حتى آنا,حتي انا,0.48,too_short
sample_00012582,قهرة,قهرة,0.414,too_short
sample_00012592,باهي,باهي,0.325,too_short
sample_00012611,لكن,لكن,0.401,too_short
sample_00012797,إن شاء الله أ معنتها يكون كلامها أ واضح خاطر يلخص شوية شنوا كنا نحكيوا من بكري في إنو آ معناها العنصرية ماهياش أنك تبدل ال comportement متاعك أكهو راهي بنى إجتماعية معناتها ومؤسسات وإنو إنجموا إناضلوا خارج إطار آ آ رأسمالي وإنو الإستعمار راهو مازال موجود إلى اليوم ولازمه يكون في آ ال ال في أعلى آ آ معناتها ولا في في في في آ صدارة آ اللا ال الأجندات السياسية متاعنا,ان شاء الله ا معنتها يكون كلامها ا واضح خاطر يلخص شوية شنوا كنا نحكيوا من بكري في انو ا معناها العنصرية ماهياش انك تبدل ال comportement متاعك اكهو راهي بني اجتماعية معناتها ومؤسسات وانو انجموا اناضلوا خارج اطار ا ا راسمالي وانو الاستعمار راهو مازال موجود الي اليوم ولازمه يكون في ا ال ال في اعلي ا ا معناتها ولا في في في في ا صدارة ا اللا ال الاجندات السياسية متاعنا,30.323,too_long
sample_00012948,نعم,نعم,0.358,too_short
sample_00012978,أحنا,احنا,0.482,too_short
sample_00013094,علاش,علاش,0.473,too_short
sample_00013135,أماليهم معنتها هذوما مهملينهم ال stratégie متاع معهد الترات قعدت مركزة على اللا الفترة الرومانية لكن هذايا مش معنتها معنتها  مش معنتها ال حتى الحاجات الرومانية حافظنا عليهم برشا لا مثلا كي تشوف آ carthage توا آ تمشي ل carthage تشد ثنية معنتها من تونس أ حتى البلايك اللي تشوفهم مثلا تلقاها كان تثبتوا فيها البلاكة متاع carthage قد البلاكة متاع المرسى ولا متاع سيدي بوسعيد وقت لي carthage هي معنتها من كي تمشي البرة أكثر حاجة تعرف بيها تونس,اماليهم معنتها هذوما مهملينهم ال stratégie متاع معهد الترات قعدت مركزة علي اللا الفترة الرومانية لكن هذايا مش معنتها معنتها مش معنتها ال حتي الحاجات الرومانية حافظنا عليهم برشا لا مثلا كي تشوف ا carthage توا ا تمشي ل carthage تشد ثنية معنتها من تونس ا حتي البلايك اللي تشوفهم مثلا تلقاها كان تثبتوا فيها البلاكة متاع carthage قد البلاكة متاع المرسي ولا متاع سيدي بوسعيد وقت لي carthage هي معنتها من كي تمشي البرة اكثر حاجة تعرف بيها تونس,31.476,too_long
sample_00013144,كل سطر هو آ فترة تاريخية هذايا كي أم كي تجيب trax وتضرب ضربة في اللا في القاعة باك الضربة trax هزيت آ ما نعرفش ألف سنة تاريخ هكا وهذايا أكثر حاجة مهمة لي في ال في الآثار معنتها في القطع une fois تهزت ما تولي un objet d'art معنتها juste حاجة مزيانة والكل أما الأرض بيدها هي لي بش تقرى بيها تاريخ البلاد أ هد آ أم أ بش آ أ آ إنعاودوا أحنا قاعدين إنعاودوا,كل سطر هو ا فترة تاريخية هذايا كي ام كي تجيب trax وتضرب ضربة في اللا في القاعة باك الضربة trax هزيت ا ما نعرفش الف سنة تاريخ هكا وهذايا اكثر حاجة مهمة لي في ال في الاثار معنتها في القطع une fois تهزت ما تولي un objet d'art معنتها juste حاجة مزيانة والكل اما الارض بيدها هي لي بش تقري بيها تاريخ البلاد ا هد ا ام ا بش ا ا ا انعاودوا احنا قاعدين انعاودوا,30.394,too_long
sample_00013308,لهنا,لهنا,0.486,too_short
sample_00013312,donc,donc,0.425,too_short
sample_00013321,شعملت,شعملت,0.491,too_short
sample_00013512,yeah,yeah,0.477,too_short
sample_00013530,merci,merci,0.37,too_short
sample_00014036,هو,هو,0.478,too_short
sample_00014089,وينه,وينه,0.422,too_short
sample_00014090,أهوكا,اهوكا,0.42,too_short
sample_00014311,bon,bon,0.226,too_short
sample_00014519,طار,طار,0.386,too_short
sample_00014932,لا لا,لا لا,0.358,too_short
sample_00014953,يمشي,يمشي,0.358,too_short
sample_00014956,أوكي,اوكي,0.382,too_short
sample_00014960,حل,حل,0.221,too_short
sample_00015023,بلقاسم,بلقاسم,0.442,too_short
sample_00015031,من هي,من هي,0.4,too_short
sample_00015045,أه,اه,0.271,too_short
sample_00015050,نجحت,نجحت,0.363,too_short
sample_00015053,هذايا,هذايا,0.482,too_short
sample_00015054,كمل,كمل,0.422,too_short
sample_00015067,طيب,طيب,0.437,too_short
sample_00015068,من هو,من هو,0.499,too_short
sample_00015080,باهي,باهي,0.343,too_short
sample_00015093,أيه,ايه,0.237,too_short
sample_00015208,en fait,en fait,0.391,too_short
sample_00015425,عاود أرجع,عاود ارجع,0.416,too_short
sample_00015494,مش هكاكا,مش هكاكا,0.482,too_short
sample_00017634,﻿كيفاش,كيفاش,0.488,too_short
sample_00017885,﻿بحذاك اليوم,بحذاك اليوم,0.387,too_short
sample_00019355,عجب,عجب,0.461,too_short
